pID,pName,options,suggestion
134L,Chrome Yellow,"[{""name"":""4 oz"",""price"":1031},{""name"":""8 oz"",""price"":1562},{""name"":""Pint"",""price"":2195},{""name"":""Quart"",""price"":3995}]","[""Not All Prices Match"",{""name"":""One Shot 134L Chrome Yellow 4oz"",""price"":1031},{""name"":""One Shot 134L Chrome Yellow 8oz"",""price"":1562},{""name"":""One Shot 134L Chrome Yellow 16oz"",""price"":2195},{""name"":""One Shot 134L Chrome Yellow 32oz"",""price"":3958}]"
BC11,Cinder Red,"[{""name"":""4 oz"",""price"":1655},{""name"":""8 oz"",""price"":3009},{""name"":""16 oz"",""price"":5471},{""name"":""4oz PRE REDUCED 1:1"",""price"":1655},{""name"":""8oz PRE REDUCED 1:1"",""price"":3009},{""name"":""16oz PRE REDUCED 1:1"",""price"":5471},{""name"":""Quart"",""price"":8925},{""name"":""12oz AEROSOL Spray Can"",""price"":2705}]","[""Less Suggestions"",{""name"":""HoK Basecoat BC11 Cinder Red 4oz"",""price"":2093},{""name"":""HoK Basecoat BC11 Cinder Red 8oz"",""price"":3806},{""name"":""HoK Basecoat BC11 Cinder Red 16oz"",""price"":6920},{""name"":""HoK Basecoat BC11 Cinder Red 32oz"",""price"":11309}]"
PBC48,Cinnamon Pearl,"[{""name"":""4 oz"",""price"":2810},{""name"":""8 oz"",""price"":5110},{""name"":""16 oz"",""price"":9290},{""name"":""4oz PRE REDUCED 1:1"",""price"":2810},{""name"":""8oz PRE REDUCED 1:1"",""price"":5110},{""name"":""16oz PRE REDUCED 1:1"",""price"":9290},{""name"":""Quart"",""price"":14074},{""name"":""12oz AEROSOL Spray Can"",""price"":3860}]","[""Less Suggestions"",{""name"":""HoK Pearl Basecoat 48  Cinnamon *Upgrade to S2-PBC48 32oz"",""price"":19481}]"
DA08,Clay,"[{""name"":""1 oz"",""price"":1050},{""name"":""4 oz"",""price"":2695},{""name"":""16oz"",""price"":10200}]","[""Less Suggestions"",{""name"":""Temptu Dura Skin Tone 08 Clay 1oz"",""price"":1350},{""name"":""Temptu Dura Skin Tone 08 Clay 4oz"",""price"":3150}]"
S/B-008,Clay Foundation,"[{""name"":""1 oz"",""price"":2350},{""name"":""4 oz"",""price"":8500}]","[""Success-1"",{""name"":""Temptu S/B Foundation 008 Clay 1oz"",""price"":2350},{""name"":""Temptu S/B Foundation 008 Clay 4oz"",""price"":8500}]"
6-500,Cleaner,"[{""name"":""4 oz"",""price"":250},{""name"":""8 oz"",""price"":325},{""name"":""16 oz"",""price"":495},{""name"":""32 oz"",""price"":725}]","[""Success-1"",{""name"":""Medea Cleaner 4oz"",""price"":250},{""name"":""Medea Cleaner 8oz"",""price"":325},{""name"":""Medea Cleaner 16oz"",""price"":495},{""name"":""Medea Cleaner 32oz"",""price"":725}]"
M-06,Cleaner Wax,"[{""name"":""16oz (M0616)"",""price"":1000},{""name"":""64oz (M0664)"",""price"":2750}]","[""No Suggestions"",""Parenthesis"",""Success-2"",{""name"":""Meguiar's #6 Cleaning Wax 16oz"",""price"":1418},{""name"":""Meguiar's #6 Cleaning Wax 64oz"",""price"":3684}]"
EBA-15,Clear Glow-In-Dark,"[{""name"":""1oz"",""price"":1300},{""name"":""4oz"",""price"":3750}]","[""Success-1"",{""name"":""European Body Art ENDURA Clear Glow 1oz"",""price"":1300},{""name"":""European Body Art ENDURA Clear Glow 4oz"",""price"":3750}]"
HOK1804,COARSE Metallic Alani Orange,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK1704,COARSE Metallic Azure Blue,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK0204,COARSE Metallic Celestial White,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK0804,COARSE Metallic Eclipse Orange,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK0704,COARSE Metallic Gamma Gold,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK0504,COARSE Metallic Lapis Blue,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK1404,COARSE Metallic Lunar Yellow,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK0604,COARSE Metallic Meteor Maroon,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK0004,COARSE Metallic Orion Silver,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK1004,COARSE Metallic Pavo Purple,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK0904,COARSE Metallic Planet Green,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK1604,COARSE Metallic Re-Entry Red,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK0104,COARSE Metallic Solar Gold,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK1504,COARSE Metallic Solarflair Red,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK0404,COARSE Metallic Stratto Blue,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK1104,COARSE Metallic Toaster Bake,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK1304,COARSE Metallic Velocity Violet,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
HOK1204,COARSE Metallic Zenith Gold,"[{""name"":""4oz"",""price"":2269},{""name"":""8oz"",""price"":4125},{""name"":""16oz"",""price"":7500},{""name"":""Quart"",""price"":12500},{""name"":""12oz Aerosol Spray Can"",""price"":3319}]","[""No Suggestions""]"
COASTSHIRT-CAB,"Coast Airbrush ""CA"" Circle Stamp Shirt (Blue)","[{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""Xtra Large"",""price"":0},{""name"":""XXL"",""price"":100}]","[""No Suggestions""]"
COASTSHIRT-CAG,"Coast Airbrush ""CA"" Circle Stamp Shirt (Gold)","[{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""XXL"",""price"":100}]","[""No Suggestions""]"
COASTSHIRT-CAGR,"Coast Airbrush ""CA"" Circle Stamp Shirt (Gray)","[{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""Xtra Large"",""price"":0},{""name"":""XXL"",""price"":100}]","[""No Suggestions""]"
FITYMI-BB,"Coast Airbrush ""Flake it Til you Make it"" Baseball T","[{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""Xtra Large"",""price"":0},{""name"":""XXL (+$2)"",""price"":200},{""name"":""3XL (+$3)"",""price"":300}]","[""Less Suggestions"",{""name"":""Coast Airbrush \""Flake It Till You Male It\""  BASEBALL-T  BLACK"",""price"":2600}]"
FITYMI-T,"Coast Airbrush ""Flake it Til you Make it"" T on Black","[{""name"":""Small"",""price"":0},{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""Xtra Large"",""price"":0},{""name"":""XXL (+$2)"",""price"":200},{""name"":""3XL (+$3)"",""price"":300}]","[""Less Suggestions"",{""name"":""Coast Airbrush \""Flake It Till You Male It\""  SHIRT BLACK"",""price"":2200}]"
COASTSHIRT-MCB,"Coast Airbrush ""Ladies do it Better"" T on Black","[{""name"":""Small"",""price"":0},{""name"":""Medium *OUT OF STOCK*"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""Xtra Large"",""price"":0},{""name"":""XXL"",""price"":100},{""name"":""3XL"",""price"":200}]","[""No Suggestions""]"
COASTSHIRT-MCW,"Coast Airbrush ""Ladies do it Better"" T on White","[{""name"":""Small"",""price"":0},{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""Xtra Large"",""price"":0},{""name"":""XXL"",""price"":100},{""name"":""3XL"",""price"":200}]","[""Less Suggestions"",{""name"":""Coast AIrbrush \""Ladies Do It Better\"" WHITE"",""price"":2200}]"
COASTFFHAT-SCRIPT,"Coast Airbrush ""Script"" Flex-Fit Hat","[{""name"":""Small/Medium"",""price"":0},{""name"":""Large/XL"",""price"":0}]","[""No Suggestions""]"
MANIFOLD,Coast Airbrush Manifold w/ Fittings,"[{""name"":""4 Port"",""price"":2495},{""name"":""6 Port"",""price"":3495},{""name"":""8 Port"",""price"":4495},{""name"":""12 Port"",""price"":6495}]","[""Less Suggestions"",{""name"":""Aluminum Block Manifold"",""price"":3995}]"
COASTSHIRT-SCG,Coast Airbrush Southern California Shirt (Green),"[{""name"":""Small"",""price"":0}]","[""No Suggestions""]"
COASTSHIRT-SCR,Coast Airbrush Southern California Shirt (Red),"[{""name"":""Small"",""price"":0},{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""Xtra Large"",""price"":0},{""name"":""XXL"",""price"":100},{""name"":""3XL"",""price"":200},{""name"":""4XL"",""price"":500}]","[""No Suggestions""]"
COASTSHIRT-TBW,Coast Airbrush Throwback Shirt White,"[{""name"":""Large"",""price"":0}]","[""Not All Prices Match"",{""name"":""Coast Throwback Shirt WHITE"",""price"":2000}]"
R500,Coast Airbrush Vinyl Mask,"[{""name"":""Clear 18\"" (R18501)"",""price"":7495},{""name"":""Clear 24\"" (R24501)"",""price"":9995},{""name"":""White 18\"" (R18502)"",""price"":7495},{""name"":""White 24\"" (R24502)"",""price"":9995},{""name"":""Yellow 18\"" (R18503)"",""price"":7495},{""name"":""Yellow 24\"" (R24503)"",""price"":9995}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
CS1/2,"Coast Smooth 1/2"" Frame Canvas","[{""name"":""24x24"",""price"":1695},{""name"":""24x25"",""price"":2995},{""name"":""24x30"",""price"":1795},{""name"":""24x36"",""price"":2095},{""name"":""36x36"",""price"":3495},{""name"":""30x48"",""price"":3595},{""name"":""36x48"",""price"":3695},{""name"":""24x48"",""price"":2995}]","[""More Suggestions:12"",{""name"":""Coast Smooth Canvas ½\"" Box Frame 20x24"",""price"":1595},{""name"":""Coast Smooth Canvas ½\"" Box Frame 24x36"",""price"":2095},{""name"":""Coast Smooth Canvas ½\"" Box Frame 30x30"",""price"":2995},{""name"":""Coast Smooth Canvas ½\"" Box Frame 36x36"",""price"":3495},{""name"":""Coast Smooth Canvas ½\"" Box Frame 30x40"",""price"":2595},{""name"":""Coast Smooth Canvas ½\"" Box Frame 24x25"",""price"":2995},{""name"":""Coast Smooth Canvas ½\"" Box Frame 24x48"",""price"":2995},{""name"":""Coast Smooth Canvas ½\"" Box Frame 24x24"",""price"":1695},{""name"":""Coast Smooth Canvas ½\"" Box Frame 30x48"",""price"":3595},{""name"":""Coast Smooth Canvas ½\"" Box Frame 24x30"",""price"":1795},{""name"":""Coast Smooth Canvas ½\"" Box Frame 36x60"",""price"":4095},{""name"":""Coast Smooth Canvas ½\"" Box Frame 18x24"",""price"":1395}]"
KK05,Cobalt Blue,"[{""name"":""1 oz"",""price"":995},{""name"":""2 oz"",""price"":1695},{""name"":""4 oz"",""price"":2995},{""name"":""Half Pint"",""price"":4508}]","[""No Suggestions""]"
KK05RTS,Cobalt Blue (Ready to Spray),"[{""name"":""2 oz"",""price"":1495},{""name"":""4 oz"",""price"":2495},{""name"":""8 oz"",""price"":4500}]","[""Not All Prices Match"",{""name"":""HoK Kandy Koncentrate 05 Cobalt Blue Ready To Spray 2oz"",""price"":1695},{""name"":""HoK Kandy Koncentrate 05 Cobalt Blue Ready To Spray 4oz"",""price"":2995},{""name"":""HoK Kandy Koncentrate 05 Cobalt Blue Ready To Spray 8oz"",""price"":4508}]"
KBC05,Cobalt Blue Kandy Basecoat,"[{""name"":""4 oz"",""price"":2267},{""name"":""8 oz"",""price"":4121},{""name"":""16 oz"",""price"":7493},{""name"":""4oz PRE REDUCED 1:1"",""price"":2267},{""name"":""8oz PRE REDUCED 1:1"",""price"":4121},{""name"":""16oz PRE REDUCED 1:1"",""price"":7493},{""name"":""Quart"",""price"":11169},{""name"":""12oz AEROSOL Spray Can"",""price"":3317}]","[""Less Suggestions"",{""name"":""HoK Kandy Basecoat 05 Cobalt Blue 4oz"",""price"":2872},{""name"":""HoK Kandy Basecoat 05 Cobalt Blue 8oz"",""price"":5221},{""name"":""HoK Kandy Basecoat 05 Cobalt Blue 16oz"",""price"":9493},{""name"":""HoK Kandy Basecoat 05 Cobalt Blue 32oz"",""price"":14151}]"
5-211,Cool Additive,"[{""name"":""1 oz"",""price"":289},{""name"":""4 oz"",""price"":869},{""name"":""16 oz"",""price"":3175},{""name"":""32 oz *Special Order*"",""price"":5375},{""name"":""Gallon *Special Order*"",""price"":16900}]","[""Success-1"",{""name"":""Comart Photo Cool Additive 1oz"",""price"":289},{""name"":""Comart Photo Cool Additive 4oz"",""price"":869},{""name"":""Comart Photo Cool Additive 16oz"",""price"":3175},{""name"":""Comart Photo Cool Additive 32oz"",""price"":5375},{""name"":""Comart Photo Cool Additive Gallon *SPECIAL ORDER"",""price"":16900}]"
HX-COP,Cop-A-Lime XTREME-SHIFT,"[{""name"":""4oz / TESTER ($61.40)"",""price"":6140},{""name"":""10oz / AEROSOL ($106.65)"",""price"":10665},{""name"":""16oz / PINT ($163.74)"",""price"":16374},{""name"":""32oz / QUART ($284.77)"",""price"":28477},{""name"":""128oz / GALLON ($990.51)"",""price"":99051}]","[""No Suggestions"",""Parenthesis"",""Match Number: 0""]"
S/B-052,Copper Bronze Highlighter,"[{""name"":""1 oz"",""price"":2350},{""name"":""4 oz"",""price"":8500}]","[""No Suggestions""]"
120L,Coral,"[{""name"":""4 oz"",""price"":1031},{""name"":""8 oz"",""price"":1562},{""name"":""Pint"",""price"":2195},{""name"":""Quart"",""price"":3995}]","[""Success-1"",{""name"":""One Shot 120L Coral 4oz"",""price"":1031},{""name"":""One Shot 120L Coral 8oz"",""price"":1562},{""name"":""One Shot 120L Coral 16oz"",""price"":2195},{""name"":""One Shot 120L Coral 32oz"",""price"":3995}]"
S/B-043,Coral Blush,"[{""name"":""1 oz"",""price"":2350},{""name"":""4 oz"",""price"":8500}]","[""No Suggestions""]"
CMFXCU,Corroded Coppa REFILL (see available sizes),"[{""name"":""150grams"",""price"":2695},{""name"":""300grams"",""price"":3695},{""name"":""600grams"",""price"":5495}]","[""No Suggestions""]"
W076,Cory Saint Clair�s Universal Fleshtone,"[{""name"":""2oz"",""price"":585},{""name"":""16oz"",""price"":2035},{""name"":""32oz"",""price"":3240},{""name"":""Gal. 128oz *Special Order*"",""price"":11588}]","[""Less Suggestions"",{""name"":""Wicked W076 Detail Cory Saint Clair Universal Fleshtone 16oz"",""price"":2035},{""name"":""Wicked W076 Detail Cory Saint Clair Universal Fleshtone 2oz"",""price"":585}]"
4526,Cosmic Sparkle Autumn Red,"[{""name"":""4 oz"",""price"":1350},{""name"":""16 oz"",""price"":5445}]","[""More Suggestions:4"",{""name"":""Auto-Air 4526 Cosmic Sparkle Autumn Red 4oz"",""price"":1350},{""name"":""Auto-Air 4526 Cosmic Sparkle Autumn Red Gallon"",""price"":39365},{""name"":""Auto-Air 4526 Cosmic Sparkle Autumn Red 16oz"",""price"":5445},{""name"":""Auto-Air 4526  Cosmic Sparkle Autumn Red 32oz"",""price"":10050}]"
4524,Cosmic Sparkle Blue,"[{""name"":""16 oz"",""price"":5445}]","[""More Suggestions:4"",{""name"":""Auto-Air 4524 Cosmic Sparkle Blue 4oz"",""price"":1350},{""name"":""Auto-Air 4524 Cosmic Sparkle Blue Gallon"",""price"":39365},{""name"":""Auto-Air 4524 Cosmic Sparkle Blue 32oz"",""price"":10050},{""name"":""Auto-Air 4524 Cosmic Sparkle Blue 16oz"",""price"":5445}]"
4523,Cosmic Sparkle Copper,"[{""name"":""4 oz"",""price"":1350},{""name"":""16 oz"",""price"":5445}]","[""More Suggestions:4"",{""name"":""Auto-Air 4523 Cosmic Sparkle Copper 4oz"",""price"":1350},{""name"":""Auto-Air 4523 Cosmic Sparkle Copper Gallon"",""price"":39365},{""name"":""Auto-Air 4523 Cosmic Sparkle Copper 32oz"",""price"":10050},{""name"":""Auto-Air 4523 Cosmic Sparkle Copper 16oz"",""price"":5445}]"
4521,Cosmic Sparkle Gold,"[{""name"":""4 oz"",""price"":1350},{""name"":""16 oz"",""price"":5445},{""name"":""32 oz"",""price"":10050}]","[""More Suggestions:4"",{""name"":""Auto-Air 4521 Cosmic Sparkle Gold 4oz"",""price"":1350},{""name"":""Auto-Air 4521 Cosmic Sparkle Gold Gallon"",""price"":39365},{""name"":""Auto-Air 4521 Cosmic Sparkle Gold 16oz"",""price"":5445},{""name"":""Auto-Air 4521 Cosmic Sparkle Gold 32oz"",""price"":10050}]"
4525,Cosmic Sparkle Green,"[{""name"":""4 oz"",""price"":1350},{""name"":""16 oz"",""price"":5445}]","[""More Suggestions:4"",{""name"":""Auto-Air 45245Cosmic Sparkle Green Gallon"",""price"":39365},{""name"":""Auto-Air 4525 Cosmic Sparkle Green 16oz"",""price"":5445},{""name"":""Auto-Air 4525  Cosmic Sparkle Green 32oz"",""price"":10050},{""name"":""Auto-Air 4525 Cosmic Sparkle Green 4oz"",""price"":1350}]"
4522,Cosmic Sparkle Red,"[{""name"":""4 oz"",""price"":1350},{""name"":""16 oz"",""price"":5445}]","[""More Suggestions:4"",{""name"":""Auto-Air 4522 Cosmic Sparkle Red 4oz"",""price"":1350},{""name"":""Auto-Air 4522 Cosmic Sparkle Red Gallon"",""price"":39365},{""name"":""Auto-Air 4522 Cosmic Sparkle Red 16oz"",""price"":5445},{""name"":""Auto-Air 4522 Cosmic Sparkle Red 32oz"",""price"":10050}]"
5618,Createx Airbrush Cleaner,"[{""name"":""2 oz"",""price"":245},{""name"":""4 oz"",""price"":399},{""name"":""8 oz"",""price"":425},{""name"":""16 oz"",""price"":800},{""name"":""32 oz"",""price"":1375}]","[""Not All Prices Match"",{""name"":""Createx 5618 Airbrush Cleaner 2oz"",""price"":245},{""name"":""Createx 5618 Airbrush Cleaner 4oz"",""price"":325},{""name"":""Createx 5618 Airbrush Cleaner 8oz"",""price"":425},{""name"":""Createx 5618 Airbrush Cleaner 16oz"",""price"":800},{""name"":""Createx 5618 Airbrush Cleaner 32oz"",""price"":1375}]"
4814,Createx Colors Vinny Mascot T-Shirt 2 Pack,"[{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""X-Large"",""price"":0},{""name"":""XX-Large"",""price"":0},{""name"":""3XL"",""price"":0}]","[""No Suggestions""]"
4814H,Createx Colors Vinny Mascot T-Shirt Heather Gray,"[{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""X-Large"",""price"":0},{""name"":""XX-Large"",""price"":0},{""name"":""3XL"",""price"":0}]","[""Less Suggestions"",{""name"":""Createx Colors Vinny Mascot T-Shirt Heather Gray MEDIUM"",""price"":2000},{""name"":""Createx Colors Vinny Mascot T-Shirt Heather Gray X-LARGE"",""price"":2000},{""name"":""Createx Colors Vinny Mascot T-Shirt Heather Gray LARGE"",""price"":2000},{""name"":""Createx Colors Vinny Mascot T-Shirt Heather Gray 3X-LARGE"",""price"":2000}]"
4814N,Createx Colors Vinny Mascot T-Shirt Navy Blue,"[{""name"":""Medium"",""price"":0},{""name"":""Large"",""price"":0},{""name"":""X-Large"",""price"":0},{""name"":""XX-Large"",""price"":0},{""name"":""3XL"",""price"":0}]","[""Not All Prices Match"",{""name"":""Createx Colors Vinny Mascot T-Shirt Navy Blue XX-LARGE"",""price"":2000},{""name"":""Createx Colors Vinny Mascot T-Shirt Navy Blue MEDIUM"",""price"":2000},{""name"":""Createx Colors Vinny Mascot T-Shirt Navy Blue X-LARGE"",""price"":2000},{""name"":""Createx Colors Vinny Mascot T-Shirt Navy Blue LARGE"",""price"":2000},{""name"":""Createx Colors Vinny Mascot T-Shirt Navy Blue 3X-LARGE"",""price"":2000}]"
5620,Createx Gloss Clear,"[{""name"":""2oz"",""price"":497},{""name"":""4oz"",""price"":775},{""name"":""8oz"",""price"":1450},{""name"":""16oz"",""price"":2725},{""name"":""32oz"",""price"":5100}]","[""Less Suggestions"",{""name"":""Createx Clear Coat 4oz Gloss"",""price"":497},{""name"":""Createx Clear Coat 16oz Gloss"",""price"":2725},{""name"":""Createx Clear Coat 32oz Gloss"",""price"":5100},{""name"":""Createx Clear Coat 2oz Gloss"",""price"":497}]"
5095,Createx Illustration CMYK Cyan,"[{""name"":""2oz"",""price"":749}]","[""Success-1"",{""name"":""Createx Illustration CMYK Cyan 2oz"",""price"":749}]"
5096,Createx Illustration CMYK Magenta,"[{""name"":""2oz"",""price"":749}]","[""No Suggestions""]"
5097,Createx Illustration CMYK Yellow,"[{""name"":""2oz"",""price"":749}]","[""Success-1"",{""name"":""Createx Illustration CMYK Yellow 2oz"",""price"":749}]"
5001,Createx Illustration Neutral Grey 1,"[{""name"":""2oz"",""price"":749},{""name"":""8oz"",""price"":1649}]","[""Success-1"",{""name"":""Createx Illustration Neutral Grey #1 2oz"",""price"":749},{""name"":""Createx Illustration Neutral Grey #1 8oz"",""price"":1649}]"
5002,Createx Illustration Neutral Grey 2,"[{""name"":""2oz"",""price"":749},{""name"":""8oz"",""price"":1649}]","[""Success-1"",{""name"":""Createx Illustration Neutral Grey #2 2oz"",""price"":749},{""name"":""Createx Illustration Neutral Grey #2 8oz"",""price"":1649}]"
5003,Createx Illustration Neutral Grey 3,"[{""name"":""2oz"",""price"":749},{""name"":""8oz"",""price"":1649}]","[""Success-1"",{""name"":""Createx Illustration Neutral Grey #3 2oz"",""price"":749},{""name"":""Createx Illustration Neutral Grey #3 8oz"",""price"":1649}]"
5004,Createx Illustration Neutral Grey 4,"[{""name"":""2oz"",""price"":749},{""name"":""8oz"",""price"":1649}]","[""Success-1"",{""name"":""Createx Illustration Neutral Grey #4 2oz"",""price"":749},{""name"":""Createx Illustration Neutral Grey #4 8oz"",""price"":1649}]"
5005,Createx Illustration Neutral Grey 5,"[{""name"":""2oz"",""price"":749},{""name"":""8oz"",""price"":1649}]","[""Success-1"",{""name"":""Createx Illustration Neutral Grey #5 2oz"",""price"":749},{""name"":""Createx Illustration Neutral Grey #5 8oz"",""price"":1649}]"
5006,Createx Illustration Neutral Grey 6,"[{""name"":""2oz"",""price"":749},{""name"":""8oz"",""price"":1649}]","[""Success-1"",{""name"":""Createx Illustration Neutral Grey #6 2oz"",""price"":749},{""name"":""Createx Illustration Neutral Grey #6 8oz"",""price"":1649}]"
5007,Createx Illustration Neutral Grey 7,"[{""name"":""2oz"",""price"":749},{""name"":""8oz"",""price"":1649}]","[""Success-1"",{""name"":""Createx Illustration Neutral Grey #7 2oz"",""price"":749},{""name"":""Createx Illustration Neutral Grey #7 8oz"",""price"":1649}]"
5008,Createx Illustration Neutral Grey 8,"[{""name"":""2oz"",""price"":749},{""name"":""8oz"",""price"":1649}]","[""Success-1"",{""name"":""Createx Illustration Neutral Grey #8 2oz"",""price"":749},{""name"":""Createx Illustration Neutral Grey #8 8oz"",""price"":1649}]"
5009,Createx Illustration Neutral Grey 9,"[{""name"":""2oz"",""price"":749},{""name"":""8oz"",""price"":1649}]","[""Success-1"",{""name"":""Createx Illustration Neutral Grey #9 2oz"",""price"":749},{""name"":""Createx Illustration Neutral Grey #9 8oz"",""price"":1649}]"
5078,Createx Illustration Opaque Black,"[{""name"":""2oz (5078-02)"",""price"":749},{""name"":""8oz (5078-08)"",""price"":1649}]","[""Not All Prices Match"",{""name"":""Createx Illustration Opaque Black 2oz"",""price"":749},{""name"":""Createx Illustration Opaque Black 8oz"",""price"":1594},""Parenthesis"",""Success-2"",{""name"":""Createx Illustration Opaque Black 2oz"",""price"":749},{""name"":""Createx Illustration Opaque Black 8oz"",""price"":1594}]"
5087,Createx Illustration Opaque Set,"[{""name"":""5087-01 (1oz)"",""price"":5225},{""name"":""5087-02 (2oz)"",""price"":7995}]","[""Less Suggestions"",{""name"":""Createx Illustration Opaque Set 2oz"",""price"":7995},""Parenthesis"",""Match Number: 0""]"
5068,Createx Illustration Opaque White,"[{""name"":""2oz (5068-02)"",""price"":749},{""name"":""8oz (5068-08)"",""price"":1649}]","[""Not All Prices Match"",{""name"":""Createx Illustration Opaque White 2oz"",""price"":749},{""name"":""Createx Illustration Opaque White 8oz"",""price"":1594},""Parenthesis"",""Success-2"",{""name"":""Createx Illustration Opaque White 2oz"",""price"":749},{""name"":""Createx Illustration Opaque White 8oz"",""price"":1594}]"
QDM,Createx Male Quick Connect,"[{""name"":""QDMP (Fits Paasche)"",""price"":0},{""name"":""QDMI (Fits Iwata/Sata/Tamiya)"",""price"":0}]","[""Less Suggestions"",{""name"":""1/4 inch Male quick disconnect (industrial)"",""price"":250},""Parenthesis"",""Match Number: 0""]"
5622,Createx Matte Clear,"[{""name"":""2oz"",""price"":497},{""name"":""4oz"",""price"":775},{""name"":""8oz"",""price"":1450},{""name"":""16oz"",""price"":2725},{""name"":""32oz"",""price"":5100}]","[""Less Suggestions"",{""name"":""Createx Clear Coat 16oz Matte"",""price"":2725},{""name"":""Createx Clear Coat 32oz Matte"",""price"":5100},{""name"":""Createx Clear Coat 2oz Matte"",""price"":497}]"
